Order_ID,Order_Line,Order_Date,Ship_Date,Customer_ID,Custormer_Name,Customer_Segment,Region,State,Cty,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount,Cost_Price,Sales,Profit,Shipping_Mode,Shipping_Cost,Payment_Method,Order_Priority,Sales_Rep,Sales_Rep_Region,Customer_Rating,Order_Status,Quantity_Check,Outlier_Flag,Customer_Check,Product_Check,Day_Type,First_Order_Year,Order_Year
ORD-100394,1,45265,45267,CUST-01172,Kavya Joshi,Corporate,North,Uttarakhand,Haridwar,PRD-0176,Personal Care Model H8,Grocery,Personal Care,5,689.45,0.3,386.28,2413.07,481.67,Second Class,235.9855643,Credit Card,High,Diya Anderson,East,,Delivered,5,,OK,OK,Weekend,2023,2023
ORD-111458,1,45202,45205,CUST-00369,Rohan Bose,Home Office,North,Delhi,Rohini,PRD-0012,Laptop Model D4,Electronics,Laptops,2,7315.8,0.05,4826.81,13900.02,4246.4,Standard Class,377.34,UPI,Low,James Rao,Central,5,Delivered,2,,OK,OK,Weekend,2022,2023
ORD-110886,1,45609,45612,CUST-00485,Saanvi Kapoor,Home Office,West,Gujarat,Vadodara,PRD-0166,Staple Model F6,Grocery,Staples,5,380.31,0.15,229.04,1616.32,471.12,Second Class,24.19,Net Banking,Critical,Ira Khan,Central,4,Shipped,5,,OK,OK,Weekend,2022,2024
ORD-107532,1,45313,45316,CUST-00845,Rohan Sharma,Home Office,West,Maharashtra,Mumbai,PRD-0041,Chair Model A1,Furniture,Chairs,3,27203.48,0.2,17546.18,65288.35,12649.81,Standard Class,368.91,Net Banking,Medium,Linda Pillai,North,4,Delivered,3,,OK,OK,Weekend,2022,2024
ORD-110781,1,44962,44968,CUST-00771,Mary Bose,Consumer,South,Karnataka,Hubli,PRD-0057,Bookcase Model A1,Furniture,Bookcases,3,29977.46,0.1,18305.25,80939.14,26023.39,Standard Class,319.49,Credit Card,Medium,Aadhya Malhotra,Central,4,Returned,3,,OK,OK,Weekend,2023,2023
ORD-106970,1,44824,44826,CUST-01368,Jennifer Jones,Home Office,Central,Chhattisgarh,Bilaspur,PRD-0130,Kids Wear Model B2,Clothing,Kids Wear,4,3263.74,0.1,1494.08,11749.46,5773.14,First Class,402.89,Paypal,Low,Kavya Miller,East,5,Delivered,4,,OK,OK,Weekend,2022,2022
ORD-107324,1,45301,45567,CUST-00786,Aditya Menon,Corporate,West,Maharashtra,Mumbai,PRD-0148,Beverage Model D4,Grocery,Beverages,8,1462.06,0.2,850.67,9357.18,2551.82,First Class,236.74,Paypal,Low,Ira Menon,East,,Processing,8,,OK,OK,Weekend,2022,2024
ORD-107875,1,45408,45415,CUST-01104,Riya Davis,Home Office,West,Rajasthan,Jodhpur,PRD-0132,Kids Wear Model D4,Clothing,Kids Wear,4,1767.24,0,799.34,7068.96,3871.6,Standard Class,414.18,Paypal,Low,Robert Joshi,North,5,Delivered,4,,OK,OK,Weekend,2022,2024
ORD-108351,1,44820,44824,CUST-00861,John Jones,Corporate,South,Karnataka,Bengaluru,PRD-0133,Kids Wear Model E5,Clothing,Kids Wear,4,1970.34,0.2,978.21,6305.09,2392.25,Standard Class,346.72,Credit Card,Low,Riya Anderson,West,5,Delivered,4,,OK,OK,Weekend,2022,2022
ORD-107701,1,44678,44685,CUST-00286,Diya Joshi,Home Office,East,West Bengal,Howrah,PRD-0005,Mobile Phone Model E5,Electronics,Mobile Phones,2,38689.96,0.85,26698.6,11606.99,-41790.21,Standard Class,110.05,Net Banking,Medium,James Davis,Central,3,Returned,2,,OK,OK,Weekend,2022,2022
ORD-106764,1,45135,45139,CUST-01357,Rohan Rao,Consumer,Central,Chhattisgarh,Raipur,PRD-0039,Accessorie Model G7,Electronics,Accessories,3,43510.75,0,30844.79,130532.25,37997.88,Standard Class,374.7,Paypal,Low,David Anderson,North,5,Delivered,3,,OK,OK,Weekend,2022,2023
ORD-105769,1,45417,45420,CUST-01063,Aditya Nair,Corporate,East,Bihar,Patna,PRD-0119,Men'S Wear Model G7,Clothing,Men'S Wear,5,770.14,0.05,353.94,3658.16,1888.46,Second Class,21.84,Credit Card,Low,Ananya Mehta,North,5,Delivered,5,,OK,OK,Weekend,2022,2024
ORD-102435,1,44574,44576,CUST-00850,David Brown,Consumer,East,West Bengal,Kolkata,PRD-0149,Beverage Model E5,Grocery,Beverages,5,434,0,253.46,2061.5,794.2,Second Class,143.16,UPI,Medium,James Davis,Central,5,Delivered,5,,OK,OK,Weekend,2022,2022
ORD-102916,1,44895,44604,CUST-00441,Robert Nair,Corporate,West,Gujarat,Vadodara,PRD-0003,Mobile Phone Model C3,Electronics,Mobile Phones,5,32584.89,0.15,22278.63,138485.78,27092.63,Second Class,311.75,Paypal,High,Patricia Nair,West,4,Delivered,5,,OK,OK,Weekend,2022,2022
ORD-103726,1,45384,45389,CUST-00288,Aadhya Nair,Home Office,Central,Madhya Pradesh,Gwalior,PRD-0011,Laptop Model C3,Electronics,Laptops,2,35642.95,0.1,23791.77,64157.31,16573.77,Standard Class,379.56,Credit Card,Critical,Riya Anderson,West,2,Delivered,2,,OK,OK,Weekend,2022,2024
ORD-108043,1,44795,44800,CUST-01184,Ananya Williams,Home Office,South,Karnataka,Hubli,PRD-0130,Kids Wear Model B2,Clothing,Kids Wear,2,2921.36,0,1450.21,5842.72,2942.3,Standard Class,161.41,UPI,High,Rohan Davis,West,3,Delivered,2,,OK,OK,Weekend,2022,2022
ORD-109331,1,45397,45402,CUST-00746,Ishaan Jones,Consumer,Central,Chhattisgarh,Bilaspur,PRD-0108,Envelope Model D4,Office Supplies,Envelopes,3,1831.53,0.1,1028.16,4945.13,1860.65,Standard Class,72.12,Debit Card,Low,David Anderson,North,3,Shipped,3,,OK,OK,Weekend,2022,2024
ORD-105177,2,45623,45623,CUST-00803,Michael Gupta,Home Office,Central,Madhya Pradesh,Bhopal,PRD-0091,Art Supplie Model C3,Office Supplies,Art Supplies,5,517.79,0.3,291.89,1812.26,352.81,Same Day,365.99,Cash On Delivery,Medium,David Anderson,North,5,Delivered,5,,OK,OK,Weekday,2023,2024
ORD-104031,1,45644,45649,CUST-01222,Aditya Smith,Corporate,North,Punjab,Jalandhar,PRD-0096,Art Supplie Model H8,Office Supplies,Art Supplies,1,654.73,0.2,336.46,523.78,187.32,Standard Class,26.8,Paypal,Medium,Aarav Khan,Central,,Delivered,1,,OK,OK,Weekend,2022,2024
ORD-102641,1,45598,45601,CUST-00543,Kavya Chatterjee,Home Office,Central,Madhya Pradesh,Bhopal,PRD-0012,Laptop Model D4,Electronics,Laptops,3,40159.66,0,28511.45,120478.98,34944.63,Standard Class,268.43,Cash On Delivery,Low,Arjun Nair,South,,Delivered,3,,OK,OK,Weekend,2022,2024
ORD-108273,1,45033,45036,CUST-00343,Linda Joshi,Corporate,South,Tamil Nadu,Chennai,PRD-0033,Accessorie Model A1,Electronics,Accessories,5,58523.82,0,42678.86,292619.1,79224.8,Standard Class,84.39,Paypal,Critical,Linda Pillai,North,4,Delivered,5,,OK,OK,Weekend,2022,2023
ORD-111237,2,45003,45010,CUST-00251,Robert Mehta,Consumer,Central,Chhattisgarh,Raipur,PRD-0003,Mobile Phone Model C3,Electronics,Mobile Phones,3,30583.75,0.1,22247.21,82576.12,15834.49,Standard Class,286.85,UPI,Medium,Robert Kumar,North,4,Delivered,3,,OK,OK,Weekday,2022,2023
ORD-105155,1,45211,45276,CUST-00404,Jennifer Jones,Corporate,North,Punjab,Amritsar,PRD-0011,Laptop Model C3,Electronics,Laptops,6,46709.3,0,34967.58,280255.8,70450.32,Standard Class,301.18,Paypal,Medium,Robert Wilson,North,5,Delivered,6,,OK,OK,Weekend,2022,2023
ORD-100054,1,44991,44993,CUST-01024,Diya Miller,Consumer,North,Punjab,Ludhiana,PRD-0023,Headphone Model G7,Electronics,Headphones,7,31480.07,0,23751.94,220360.49,54096.91,First Class,232.7647456,Paypal,Low,Jennifer Patel,Central,3,Delivered,7,,OK,OK,Weekend,2022,2023
ORD-100843,1,45564,45567,CUST-00001,James Iyer,Home Office,West,Rajasthan,Jodhpur,PRD-0081,Binder Model A1,Office Supplies,Binders,4,1717.46,0.3,903.67,4808.89,1194.21,Second Class,256.75,Paypal,High,Jennifer Patel,Central,3,Delivered,4,,OK,OK,Weekend,2022,2024
ORD-103298,1,45557,45559,CUST-00640,Krishna Reddy,Corporate,East,Bihar,Gaya,PRD-0051,Table Model C3,Furniture,Tables,4,9816.81,0.1,6309.34,35340.52,10103.16,Second Class,82.61,Debit Card,High,Linda Bose,East,5,Delivered,4,,OK,OK,Weekend,2022,2024
ORD-101993,1,45654,45657,CUST-01260,Ira Pillai,Corporate,North,Delhi,Dwarka,PRD-0100,Label Model D4,Office Supplies,Labels,6,1724.81,0.15,930.27,8796.53,3214.91,Standard Class,234.31,Paypal,Medium,Diya Anderson,East,5,Delivered,6,,OK,OK,Weekend,2022,2024
ORD-102766,1,44868,44871,CUST-00021,Mary Reddy,Corporate,Central,Uttar Pradesh,Varanasi,PRD-0158,Snack Model F6,Grocery,Snacks,1,39.63,0,24.29,39.63,15.34,Standard Class,113.14,Cash On Delivery,Low,Ishaan Bose,South,,Shipped,1,,OK,OK,Weekend,2022,2022
ORD-103550,1,45234,45239,CUST-01091,Krishna Bose,Consumer,North,Punjab,Ludhiana,PRD-0037,Accessorie Model E5,Electronics,Accessories,3,14310.6,0,10170.23,42931.8,12421.11,Standard Class,196.12,Cash On Delivery,Critical,Kavya Johnson,East,2,Delivered,3,,OK,OK,Weekend,2022,2023
ORD-105116,1,45078,45078,CUST-00900,Ishaan Joshi,Home Office,West,Gujarat,Vadodara,PRD-0159,Snack Model G7,Grocery,Snacks,6,1475.09,0.15,881.45,7522.96,2234.26,Same Day,220.81,UPI,Low,John Malhotra,North,4,Delivered,6,,OK,OK,Weekend,2022,2023
ORD-111244,1,45399,45406,CUST-00223,Linda Joshi,Consumer,South,Karnataka,Mysuru,PRD-0083,Binder Model C3,Office Supplies,Binders,2,2867.42,0,1631.7,5734.84,2471.44,Standard Class,142.69,Cash On Delivery,Low,Ishaan Bose,South,4,Delivered,2,,OK,OK,Weekend,2022,2024
ORD-101887,1,44967,44973,CUST-00918,Krishna Wilson,Consumer,North,Uttarakhand,Haridwar,PRD-0059,Bookcase Model C3,Furniture,Bookcases,3,21197.02,0,12625.35,63591.06,25715.01,Standard Class,23.7,UPI,Low,Navya Williams,South,4,Delivered,3,,OK,OK,Weekend,2022,2023
ORD-100950,2,44678,44685,CUST-01263,Saanvi Khan,Home Office,West,Maharashtra,Mumbai,PRD-0082,Binder Model B2,Office Supplies,Binders,1,1094.29,0.1,612.57,984.86,372.29,Standard Class,104.66,Net Banking,High,Arjun Menon,West,4,Delivered,1,,OK,OK,Weekday,2022,2022
ORD-102154,1,44850,44853,CUST-00567,Myra Kumar,Corporate,East,Odisha,Bhubaneswar,PRD-0020,Headphone Model D4,Electronics,Headphones,2,58148.26,0.05,42489.16,110481.69,25503.37,Second Class,166.09,Credit Card,Low,John Joshi,Central,5,Processing,2,,OK,OK,Weekend,2022,2022
ORD-106519,2,45245,45245,CUST-00536,Robert Nair,Corporate,South,Karnataka,Hubli,PRD-0031,Camera Model G7,Electronics,Cameras,5,37856.39,0,26508.47,189281.95,56739.6,Same Day,236.7220723,Net Banking,High,David Anderson,North,5,Delivered,5,,OK,OK,Weekday,2022,2023
ORD-101530,1,44831,44835,CUST-01021,Aditya Gupta,Consumer,West,Goa,Panaji,PRD-0020,Headphone Model D4,Electronics,Headphones,5,3712.54,0.05,2538.23,17634.56,4943.41,Standard Class,419.15,Debit Card,Low,David Anderson,North,4,Returned,5,,OK,OK,Weekend,2022,2022
ORD-100945,2,44684,44688,CUST-00638,Ishaan Johnson,Home Office,North,Delhi,Dwarka,PRD-0119,Men'S Wear Model G7,Clothing,Men'S Wear,2,4425.2,0,215.07,8850.4,8420.26,Second Class,359.69,Cash On Delivery,High,Rohan Davis,West,4,Processing,2,,OK,OK,Weekday,2022,2022
ORD-110989,1,45308,45313,CUST-00186,Jennifer Garcia,Home Office,West,Gujarat,Ahmedabad,PRD-0130,Kids Wear Model B2,Clothing,Kids Wear,3,2998.23,0,1390.11,8994.69,4824.36,Standard Class,378.95,Credit Card,Low,Patricia Nair,West,4,Returned,3,,OK,OK,Weekend,2022,2024
ORD-103088,1,45492,45494,CUST-01368,Jennifer Jones,Home Office,Central,Uttar Pradesh,Kanpur,PRD-0135,Kids Wear Model G7,Clothing,Kids Wear,3,452.79,0.1,229.16,1222.53,535.05,First Class,298.46,UPI,High,Vihaan Jones,East,3,Delivered,3,,OK,OK,Weekend,2022,2024
ORD-101406,1,45116,45123,CUST-00196,Saanvi Wilson,Consumer,South,Andhra Pradesh,Visakhapatnam,PRD-0088,Binder Model H8,Office Supplies,Binders,2,1242.26,0.2,710.85,1987.62,565.92,Standard Class,171.78,Credit Card,Low,Michael Verma,Central,5,Delivered,2,,OK,OK,Weekend,2022,2023
ORD-101191,2,45427,45430,CUST-00002,Aarav Brown,Home Office,Central,Madhya Pradesh,Gwalior,PRD-0004,Mobile Phone Model D4,Electronics,Mobile Phones,7,49080.1,0.2,35847.23,274848.56,23917.95,Second Class,125.81,Cash On Delivery,High,Vihaan Jones,East,2,Delivered,7,,OK,OK,Weekday,2022,2024
ORD-104126,1,44602,44603,CUST-00402,Robert Sharma,Corporate,South,Tamil Nadu,Madurai,PRD-0128,Women'S Wear Model H8,Clothing,Women'S Wear,5,1060.99,0,505.51,5304.95,2777.4,First Class,210.21,UPI,High,David Anderson,North,4,Delivered,5,,OK,OK,Weekend,2022,2022
